#{"t_start": 1746367992.8859737, "env_id": "None"}
r,l,t
10.0,60,20.938013
10.0,60,20.962101
-5.0,60,20.977618
5.0,60,21.021796
10.0,60,21.053659
0.0,60,21.078212
5.0,60,21.090472
10.0,60,21.126802
5.0,60,21.691053
0.0,60,21.716533
10.0,60,21.729026
10.0,60,21.764941
5.0,60,21.795481
10.0,60,21.81953
0.0,60,21.83215
5.0,60,21.867576
10.0,60,21.898877
5.0,60,22.439955
10.0,60,22.452491
0.0,60,22.667192
10.0,60,22.705678
10.0,60,22.738065
10.0,60,22.75482
10.0,60,22.791903
10.0,60,22.819251
5.0,60,23.316359
10.0,60,23.328499
0.0,60,23.362971
10.0,60,23.392477
10.0,60,23.415529
10.0,60,23.42768
10.0,60,23.462082
0.0,60,23.491905
10.0,60,23.51516
10.0,60,24.006552
5.0,60,24.041512
10.0,60,24.071292
10.0,60,24.094217
10.0,60,24.109015
5.0,60,24.145903
10.0,60,24.175102
10.0,60,24.198462
5.0,60,24.210361
10.0,60,24.725584
10.0,60,24.75505
10.0,60,24.778322
10.0,60,24.789952
10.0,60,24.823976
10.0,60,24.853628
5.0,60,24.876594
10.0,60,24.888307
10.0,60,25.579741
5.0,60,25.594694
10.0,60,25.605451
5.0,60,25.612432
10.0,60,25.629201
5.0,60,25.643201
10.0,60,25.654602
-5.0,60,25.660891
