#{"t_start": 1746368349.0612533, "env_id": "None"}
r,l,t
5.0,60,1.479109
-10.0,26,1.480353
-35.0,60,1.481746
-25.0,27,1.484
-60.0,60,1.484133
0.0,55,1.485654
-30.0,60,1.48891
-25.0,25,1.490935
-20.0,60,1.49256
-15.0,60,1.493315
-50.0,60,1.493448
-45.0,60,1.498594
-5.0,60,1.502165
-15.0,20,1.503362
5.0,60,1.503395
-10.0,60,1.50362
-25.0,15,1.506675
-20.0,30,1.514708
-40.0,52,1.515813
-15.0,8,1.516294
-15.0,60,1.517188
-25.0,60,1.518968
-10.0,9,1.522435
-10.0,60,1.534045
-10.0,60,1.534799
-15.0,46,1.536457
-25.0,60,1.537498
30.0,34,1.544302
-50.0,60,1.548611
-30.0,60,1.550347
-45.0,60,1.551115
-15.0,15,1.554014
-40.0,26,1.555646
-40.0,60,1.558867
-40.0,51,1.56203
-30.0,17,1.562449
-15.0,9,1.5637
-20.0,60,1.653962
5.0,55,1.654236
-15.0,25,1.654356
-10.0,8,1.655101
-10.0,24,1.656966
20.0,30,1.657361
-20.0,60,1.657456
-15.0,13,1.658545
-55.0,60,1.661279
-40.0,48,1.661554
-30.0,60,1.662941
-60.0,56,1.663817
-25.0,60,1.66704
-20.0,60,1.667378
-20.0,60,1.668852
-35.0,60,1.669813
-5.0,60,1.67326
-45.0,60,1.673529
5.0,60,1.674789
-10.0,27,1.675454
-5.0,60,1.676309
-30.0,60,1.679087
-15.0,60,1.680498
-20.0,60,1.681194
-45.0,60,1.681951
-30.0,60,1.684968
-30.0,60,1.686439
-30.0,60,1.687191
-10.0,60,1.688387
-30.0,60,1.691186
-10.0,50,1.692327
-10.0,60,1.692497
-25.0,60,1.693949
-5.0,44,1.696597
-65.0,60,1.696783
-45.0,44,1.697695
-15.0,59,1.698567
-30.0,18,1.698673
-15.0,60,1.702509
0.0,60,1.75274
-30.0,59,1.753568
5.0,60,1.75373
-20.0,21,1.754197
15.0,31,1.755932
-20.0,60,1.759216
-40.0,60,1.759404
-30.0,60,1.759823
-70.0,60,1.761405
10.0,36,1.762731
-15.0,32,1.762843
-10.0,60,1.76462
-30.0,35,1.765715
-10.0,15,1.766607
-15.0,60,1.767718
-35.0,60,1.768752
-10.0,37,1.769923
-20.0,35,1.771899
-30.0,36,1.772918
-5.0,60,1.773031
-35.0,60,1.775855
-40.0,60,1.777617
-15.0,60,1.778531
-25.0,60,1.778618
-20.0,32,1.779248
-25.0,25,1.781402
-75.0,60,1.783165
-40.0,60,1.784247
10.0,60,1.785071
-5.0,60,1.787392
-55.0,48,1.788264
-30.0,60,1.79016
-35.0,60,1.790863
0.0,60,1.793013
-20.0,60,1.793815
15.0,33,1.795681
-40.0,60,1.795767
-5.0,57,1.796921
-25.0,58,1.799291
-75.0,60,1.852111
-40.0,60,1.852247
-30.0,60,1.853301
-10.0,45,1.854497
-30.0,34,1.8562
-30.0,43,1.856489
-55.0,60,1.858321
-25.0,36,1.859681
5.0,60,1.859963
-15.0,29,1.86067
-50.0,54,1.862116
-10.0,59,1.865229
-15.0,47,1.865241
-25.0,60,1.865576
-30.0,60,1.869469
-5.0,44,1.871954
-55.0,60,1.873236
-10.0,60,1.873254
-25.0,60,1.875472
-15.0,60,1.877507
-35.0,49,1.877606
-55.0,60,1.878517
15.0,22,1.879891
-15.0,60,1.880951
-35.0,23,1.881078
0.0,15,1.881251
-20.0,11,1.882854
-30.0,60,1.88396
-15.0,21,1.885842
-50.0,60,1.886925
-15.0,60,1.887992
-20.0,60,1.889215
-10.0,27,1.889313
-10.0,9,1.890024
-35.0,31,1.89123
-30.0,50,1.892856
-10.0,7,1.89344
20.0,31,1.89378
-5.0,60,1.895414
-10.0,16,1.895429
-35.0,55,1.895866
-50.0,60,1.89942
-30.0,60,1.901192
-55.0,60,1.901259
-100.0,60,1.901686
-5.0,33,1.903026
